Accession,Description,Abundance: F1: Sample,Abundance: F2: Sample,Abundance: F5: Sample,Abundance: F6: Sample,Abundance: F7: Sample,Abundance: F8: Sample,Abundance: F10: Sample,Abundance: F11: Sample,Abundance: F12: Sample,Abundance: F13: Sample,Abundance: F14: Sample,Abundance: F15: Sample,Abundance: F18: Sample,Abundance: F19: Sample,Abundance: F20: Sample,Abundance: F21: Sample,Abundance: F22: Sample,Abundance: F23: Sample,Abundance: F26: Sample,Abundance: F27: Sample,Abundance: F28: Sample,Abundance: F29: Sample,Abundance: F30: Sample,Abundance: F31: Sample,Abundance: F34: Sample,Abundance: F35: Sample,Abundance: F36: Sample,Abundance: F37: Sample,Abundance: F38: Sample,Abundance: F39: Sample,Abundance: F42: Sample,Abundance: F43: Sample,Abundance: F44: Sample,Abundance: F45: Sample,Abundance: F46: Sample,Abundance: F47: Sample,Abundance: F50: Sample,Abundance: F51: Sample,Abundance: F52: Sample,Abundance: F53: Sample,Abundance: F54: Sample,Abundance: F55: Sample,Abundance: F58: Sample,Abundance: F59: Sample,Abundance: F60: Sample,Abundance: F61: Sample,Abundance: F62: Sample,Abundance: F63: Sample,Abundance: F66: Sample,Abundance: F67: Sample,Abundance: F68: Sample,Abundance: F69: Sample,Abundance: F70: Sample,Abundance: F71: Sample,Abundance: F74: Sample,Abundance: F75: Sample,Abundance: F76: Sample,Abundance: F77: Sample,Abundance: F78: Sample,Abundance: F79: Sample,Abundance: F82: Sample,Abundance: F83: Sample,Abundance: F84: Sample,Abundance: F85: Sample,Abundance: F86: Sample,Abundance: F87: Sample,Abundance: F90: Sample,Abundance: F91: Sample,Abundance: F92: Sample,Abundance: F93: Sample,Abundance: F94: Sample,Abundance: F96: Sample
P05787,"Keratin, type II cytoskeletal 8 OS=Homo sapiens OX=9606 GN=KRT8 PE=1 SV=7",292805.8756,486647.4795,417366.1584,104045.8619,214300.2822,335959.301,197266.2828,964799.7144,600858.7676,645957.262,847685.5954,509810.016,638697.7873,110110.2457,107958.9769,2636672.133,728813.5352,643007.1779,137491.7375,447429.607,104986.2864,1241864.363,516173.9344,676119.2301,789846.3613,577864.5191,648156.691,1262150.217,369324.4155,359444.7704,1950280.241,365671.5062,182693.1922,99386.34328,997003.0493,316550.1472,201235.6803,488452.3743,92107.1239,487341.2176,485340.7817,1124960.488,398661.0215,641056.3044,112196.4198,117972.1124,406229.1015,853862.8475,1111933.786,781508.263,210445.9853,1099157.693,582339.7064,747064.9917,1831165.837,618199.8082,779118.1794,240709.0286,423113.0419,204283.4368,640221.4536,503493.39,416452.8004,822406.1931,484710.6459,1663877.325,93987.7742,732105.413,422214.6525,142309.6021,119975.6854,508113.9433
P06733,Alpha-enolase OS=Homo sapiens OX=9606 GN=ENO1 PE=1 SV=2,847349.6503,1155985.332,1169557.695,823371.6839,1219500.849,1076001.773,907706.9843,1720214.431,905585.2299,1274587.365,1083691.959,1146159.594,864671.5916,1410718.411,889206.908,2211586.7,2376812.093,1701275.557,1032925.462,1221579.979,1394387.415,1714091.867,1162425.723,1104502.056,1767245.526,1619902.736,1941316.738,1354573.113,1178453.935,1398553.813,1450049.073,1440668.669,434224.4481,322480.456,1740952.972,870635.0884,1354893.246,1500257.98,1699941.169,1260164.677,1515540.4,1677586.826,1323219.852,1400024.254,1489562.682,794130.2427,1282575.535,2057438.462,1585403.215,1868300.007,1086624.984,1496797.57,1839347.069,1551660.161,1287365.823,2027476.474,1418491.054,905137.4893,1267523.347,1639377.035,1186990.133,1177792.283,1010104.378,1260075.879,1375498.59,2873436.748,991709.2129,997606.8472,826919.2734,864147.5522,961662.3417,1477891.968
P26038,Moesin OS=Homo sapiens OX=9606 GN=MSN PE=1 SV=3,241093.0478,168142.6958,223841.2162,81421.71912,132806.299,190252.1953,152671.8964,241156.3951,56615.10738,101670.7126,168393.4076,255578.1749,256658.0815,239937.2371,84528.81876,412722.7649,238772.6854,186179.069,192822.4038,359385.0275,285680.153,263009.6275,214209.6292,255001.8412,509606.2119,177055.3712,218509.6068,158677.4172,150972.6367,312173.8765,286153.2917,228495.8782,61654.35516,37200.80255,216622.6281,88290.5,148987.5576,225361.3558,308879.9727,182870.5164,213754.0985,166553.3723,197763.7189,227041.7659,252985.8445,150073.695,173069.2946,409297.5748,333517.2612,383849.4158,145201.2189,290007.6797,299032.3793,324791.1774,93129.13309,222888.4888,217269.4471,206708.0366,201075.5854,169148.2314,200106.6515,324288.6604,146551.1212,297836.5002,353190.1082,471433.5941,137387.8489,182642.5501,156614.313,139434.3547,161769.7646,217464.2019
P78527,DNA-dependent protein kinase catalytic subunit OS=Homo sapiens OX=9606 GN=PRKDC PE=1 SV=3,126014.6462,159628.9985,161426.0104,108969.2069,164782.7608,91066.23853,66427.9348,265332.2274,77399.39203,99569.76178,185033.1436,141345.4927,307934.9078,189315.8984,54614.66571,340735.9822,212569.9049,114010.5772,71746.95514,200796.3618,112024.9009,197176.7704,126916.9942,139810.4769,205071.687,131733.0798,144523.8736,176687.6456,174726.6744,182365.9272,302880.7375,191128.2672,82457.2728,23414.28214,230172.6572,72608.30667,124351.9918,104116.1348,122451.6602,199243.2855,239308.8849,240400.8698,160269.0055,147743.4831,179953.8975,147018.9283,131963.6779,252089.9606,175498.1769,227646.5332,63454.79111,247926.9728,316978.3732,177878.9571,141270.9027,251309.6588,157200.8201,102322.2385,174161.9407,96670.57446,199648.1926,144733.8016,97751.55518,190691.4071,115976.6737,322087.8814,65374.6286,132049.1047,154955.4309,70052.24036,42766.93243,126984.8553
Q14204,Cytoplasmic dynein 1 heavy chain 1 OS=Homo sapiens OX=9606 GN=DYNC1H1 PE=1 SV=5,87587.43524,68101.14645,109723.4175,40977.79147,96217.26224,87777.64304,86382.42636,160982.8221,41122.92294,64863.56821,48716.68164,81195.45255,125294.0543,71713.16858,30785.01852,176985.8442,130168.0525,90221.48132,48645.40964,120979.1439,88093.53534,88705.05084,94462.91907,62762.99789,116531.4947,110072.2775,134569.968,106941.2122,72160.33649,119064.8906,137872.2953,106832.696,16239.25928,14649.47246,87438.44788,55970.15643,97735.74423,87790.99738,90051.36844,73554.40332,164601.9039,89393.76157,67471.77429,94974.24084,105291.2021,113889.0507,66162.21353,108891.0522,107016.2857,95751.84222,41958.96298,88310.01941,136201.5946,103606.4232,44429.34998,103069.5663,104819.3682,129713.1124,91137.98358,100304.8689,106987.8342,93753.38153,76840.18494,132562.2491,96203.5329,146623.5563,43333.72607,46857.37573,38729.10559,52085.77625,51392.10425,117350.041
P38646,"Stress-70 protein, mitochondrial OS=Homo sapiens OX=9606 GN=HSPA9 PE=1 SV=2",113302.6591,112099.0846,155766.8516,86707.10022,131355.5527,120926.4375,109782.4579,203283.9736,143118.2171,128985.3574,169087.9217,199242.7,275228.1908,175863.6166,80484.57489,387728.0938,288410.6985,147977.4355,117551.0464,181748.0276,220359.685,203190.6793,139174.6018,127803.6245,194824.2796,187801.1043,203668.983,151720.7659,141909.2433,193870.8988,316941.6241,207648.8325,52826.85898,20002.31671,273020.6907,144225.4075,135352.6001,196219.1018,178202.1987,205444.4233,209408.7762,281364.5687,158852.2056,168194.5242,242551.7693,158442.4964,204429.7129,278800.3374,171730.6589,202467.1313,109872.7849,277102.282,254281.0638,198073.4739,136461.9329,218463.1088,163485.2523,137923.6364,187227.8751,165299.1533,129844.3057,163818.5464,131275.4485,195425.1119,178230.4491,339463.3651,107514.7082,150181.8408,120326.4087,90631.11154,72212.89218,204149.9761
P04406,Glyceraldehyde-3-phosphate dehydrogenase OS=Homo sapiens OX=9606 GN=GAPDH PE=1 SV=3,786618.4372,875958.2914,1037095.576,646339.5309,914322.8546,1037147.192,854915.4529,1249999.865,583596.1395,976652.5028,1201565.738,843738.5775,1320887.837,1265964.507,634659.788,2198581.626,1516616.635,1317328.482,972878.1922,1091067.625,1174612.434,1140921.384,1288951.158,1103855.156,1182848.965,1419588.784,1792512.74,1103171.846,900469.6554,991920.9787,1489510.799,1110359.941,210885.1631,389561.8116,1258442.278,616080.8427,839562.0247,1646428.22,1383437.601,998904.5579,1258380.183,1400477.109,1109365.923,1161957.266,1275233.56,858794.0266,814052.1551,1615770.018,1374709.482,1230125.213,921828.1739,1344551.672,1417141.441,1111764.431,1519523.418,1204009.529,1034313.1,1215255.565,1086267.151,1712617.444,804467.2732,1071051.567,927730.6121,1372073.163,839550.5851,1773651.102,1084849.439,1405966.138,671639.2376,732400.342,975798.6683,1202264.382
P50990,T-complex protein 1 subunit theta OS=Homo sapiens OX=9606 GN=CCT8 PE=1 SV=4,323523.5182,326895.6805,411701.9673,218391.7052,341576.1904,337408.7421,283427.9372,477421.0355,262802.9683,327781.702,342095.1374,432458.8885,584167.4362,417636.4279,180948.0433,808151.3278,545369.2629,418032.1684,288171.1656,476720.0563,364330.367,506464.1116,400293.0394,355403.2111,496808.5595,420085.928,423991.7118,382885.541,278953.0634,462064.6752,500996.0115,386808.468,144732.0158,78793.43515,391337.8137,289131.6578,356593.6493,317545.4647,283488.0381,400361.0768,437835.4232,498277.372,381861.8277,351511.181,409753.8725,301192.9466,359353.7139,560414.8838,420446.2657,477516.5581,238132.216,543296.7864,612638.0568,418635.3423,206242.6024,540245.3455,453348.0201,346545.6612,372684.8511,342039.9058,338919.802,350354.1837,305784.7944,401157.8105,397580.2004,583446.785,261303.2994,218622.8134,210193.9043,248153.0219,166380.4095,440703.641
P04264,"Keratin, type II cytoskeletal 1 OS=Homo sapiens OX=9606 GN=KRT1 PE=1 SV=6",40016.00037,33006.99045,63152.02791,39991.06921,61042.784,10154996.06,40986.64917,57708.50171,38705.80725,31228.90234,88697.62369,40435.76273,30521.00122,24411.79675,35561.98337,43155.61148,30181.42345,25165.58472,34497.72079,27092.73987,49935.96234,86441.0611,62950.1579,32723.11339,36201.66281,42665.02356,27723.88293,26378.51855,41136.25891,47890.22839,56135.70557,18303.60773,11089.13977,4717.299194,37291.24445,25505.76749,143541.92,54328.54254,21426.75635,30511.8363,26520.58884,66545.89517,126392.4092,37919.93796,13650.32617,36191.01166,46354.36218,28088.8244,40730.86145,34266.86331,46857.37979,22828.11945,27319.62051,31110.35352,24830.34753,27813.18588,28531.62613,16455.15771,15207.44687,27360.94727,18648.3223,26191.05457,19467.86047,29216.79822,23016.2016,22608.02478,24329.13492,34328.09305,45528.0181,32179.26385,81603.81598,31866.85323
P22626,Heterogeneous nuclear ribonucleoproteins A2/B1 OS=Homo sapiens OX=9606 GN=HNRNPA2B1 PE=1 SV=2,435162.6305,339621.0529,436106.0276,248993.8675,533956.9048,411455.6862,376467.7775,435602.1068,374555.5128,333056.791,595605.4111,472575.8019,917020.5913,465743.9738,307236.3482,1096867.822,854624.6545,685733.8365,514510.7769,657332.0855,709225.2686,701170.3391,561529.8728,547708.9726,777071.6709,729293.7106,785846.3267,377804.6947,485252.2488,613206.3119,659243.7337,569280.9878,170602.0408,121294.0026,718359.2238,353172.3284,371236.0563,528401.2939,591490.1991,609223.6967,664290.3054,644216.7115,478660.5062,532693.7574,622709.0943,329039.2023,595803.9738,817765.6021,599270.0488,639436.9921,408506.7986,567451.3553,889017.925,547510.0168,407359.0886,738126.89,501672.769,505356.3155,480311.9434,620584.8768,367413.7078,445920.0836,409515.1328,548886.4792,540596.7706,605528.7457,451774.4005,397531.2912,506540.1625,361792.1492,313926.9605,629551.561
P09874,Poly [ADP-ribose] polymerase 1 OS=Homo sapiens OX=9606 GN=PARP1 PE=1 SV=4,133206.318,107821.8372,176001.5612,100075.0984,168252.137,157255.9984,111626.0413,144873.8039,114142.536,96668.80975,160954.1846,183090.8652,218910.8868,164973.4576,135666.1471,267009.7239,245669.1338,134458.6774,119115.1537,158029.2039,178785.729,224544.5536,183949.4523,151701.4093,193080.0724,241647.0559,225377.9592,161757.5922,137909.7797,202183.8614,242960.0334,176051.1905,41735.5405,25271.43658,236794.7557,112107.3449,155120.0184,180287.3458,146830.3743,190185.4784,182435.1633,224241.2297,125467.0144,193047.2653,165200.5638,145181.5175,191762.3873,252117.2621,124931.2422,191465.3041,139623.2656,206017.4681,288339.524,218176.4729,136288.1636,260363.5961,141946.9433,115304.7631,134507.7671,142349.0998,163205.0186,202556.2151,120642.3582,191459.6421,185422.501,244344.1911,149764.0162,101038.9296,116440.0111,98540.1315,64256.50806,217084.383
P13639,Elongation factor 2 OS=Homo sapiens OX=9606 GN=EEF2 PE=1 SV=4,426340.9427,386300.8501,496171.2979,248476.575,410361.7523,393435.2632,419609.5342,571158.4954,231729.5402,225255.6907,441052.5896,526273.6099,514231.4542,608597.3781,237772.5983,910156.0746,548475.4656,385566.4865,375264.2952,585223.4336,441247.6411,644212.8539,448156.9523,434414.9447,623424.0809,591090.8494,579023.7308,426070.2244,315008.9547,513380.6409,445940.7592,383263.6115,135119.1928,74006.98474,472422.0888,363541.4901,439389.3743,354402.296,333377.7396,458343.3715,486352.9699,596660.4581,449177.5032,492063.5815,563826.402,321026.0146,383203.1781,720337.6653,448774.5635,612987.498,266343.6909,679940.7758,739078.2371,460928.9263,276475.125,577531.3468,551207.7069,503907.0382,467088.438,422102.2112,428427.9557,466290.7328,390663.7439,465155.6272,497434.7738,757585.9166,426710.4505,239695.8035,287349.9294,306993.7271,206399.6362,458301.7722
P02545,Prelamin-A/C OS=Homo sapiens OX=9606 GN=LMNA PE=1 SV=1,117055.2832,119815.0728,164297.0842,133583.474,163728.8689,216585.2858,136432.1946,182979.3165,162401.4203,172649.4487,212116.9498,225093.9835,315036.6856,207614.0576,103540.8193,627942.4247,326615.9955,174046.2599,134386.2607,205110.2066,243050.1875,142248.5706,213705.2446,178513.0044,253713.1363,229365.5323,247981.0972,204167.5894,200313.3083,221192.9947,266177.4159,212582.4628,62153.71982,40087.2691,277359.2159,91796.22536,202178.8683,352228.4226,197493.1683,230643.5582,205839.1629,349536.4224,203029.1866,160740.0965,202818.9175,112723.2118,322194.601,376680.9246,324571.9197,293337.1617,231622.3275,385045.7604,288702.8473,316250.7421,143545.9809,298354.8653,189267.3553,232293.902,206721.7217,117686.2555,184280.748,192588.9886,191822.9803,342052.2236,194213.4137,449889.5073,120894.7143,144610.9762,214819.2298,167492.5972,150852.0264,273665.2848
Q08211,ATP-dependent RNA helicase A OS=Homo sapiens OX=9606 GN=DHX9 PE=1 SV=4,92257.84979,90731.83203,170192.7277,73741.92975,124578.1574,113277.7163,107993.7867,175965.0392,72777.77014,153980.1856,188749.5647,122690.0857,228978.9549,143210.3956,72849.49179,287622.8928,248896.7873,122569.06,143194.6854,174097.5131,201468.9995,246612.1382,166909.6648,145960.4009,184095.2466,207400.0708,400695.3119,94186.37073,121963.4388,179766.3302,233214.5129,164571.9083,49816.0993,29263.19708,247919.1017,108533.4395,118614.6115,146942.366,185957.6321,191105.0452,147264.3499,194936.7495,139224.5297,154803.5808,209570.7216,109076.4019,205838.5087,289150.7247,159320.1252,185699.8309,132724.8006,255998.4267,223310.2901,181039.2975,99936.96698,204483.1385,128202.6555,108820.783,113747.6512,171858.1002,169979.2443,154170.8306,126565.7119,198050.5424,166503.5792,314974.4423,114883.1003,105950.6915,145287.1707,99987.06641,72839.91614,220900.0755
P31948,Stress-induced-phosphoprotein 1 OS=Homo sapiens OX=9606 GN=STIP1 PE=1 SV=1,190267.7454,148818.1997,237255.8064,138082.4341,189791.9235,192445.6145,169508.124,327253.8881,152207.9506,134302.8378,209417.2222,208387.6969,280264.9901,267883.7007,111484.0964,347207.9572,372886.1614,229109.592,180397.6897,284190.6635,228400.974,264551.1528,240050.7269,233469.1461,337229.2281,267882.686,257482.5989,232950.3937,156086.071,298643.1423,366401.7633,237135.5686,69482.78629,44715.02853,228876.8295,188912.6259,229014.5033,224421.8529,190666.8638,249167.9742,220231.5922,251138.4097,265774.5189,227168.7375,267413.9963,207308.7461,248864.636,376397.3913,247190.064,291928.8882,154030.7263,287842.8194,322314.8456,289339.917,161710.5353,317225.6091,267949.1005,203897.9675,254619.4279,200309.9362,243207.2238,235140.4825,202806.7875,204481.5494,281750.5609,453608.3018,156369.3413,195437.3722,128909.2896,163258.6706,154574.8097,270854.7393
